"Позиция";"Обозначение";"Корпус";"Количество";"Значение";"Поставщик и справка";
1;"Q7";"TO-252-2";1;"PFET";;;
2;"C17,C16";"CP_Elec_8x10";2;"470u";;;
3;"J6";"Socket_Strip_Straight_2x04_Pitch1.27mm";1;"Conn_02x04_Odd_Even";;;
4;"IC1";"QFN50P700X700X100-49N-D";1;"STSPIN32F0";;;
5;"C7,C1,C8,C9";"C_0603";4;"100n";;;
6;"Q3,Q1,Q2";"PowerFLAT-5x6";3;"NFET";;;
7;"J0,J1";"SolderWirePad_single_2-5mmDrill";2;"Conn_01x01";;;
8;"DL1";"D_0805";1;"LED";;;
9;"R3";"R_0603";1;"1k";;;
10;"D1";"D_SMA";1;"D_Schottky";;;
11;"D2";"D_SOD-523";1;"D_Schottky";;;
12;"D3,D4,D5,D6,D8,D7";"D_SOD-323";6;"4148WS";;;
13;"R26,R27,R37,R38,R44,R45";"R_2512";6;"0.02e";;;
14;"D9";"D_MiniMELF";1;"D_Zener";;;
15;"JU1,JV1,JW1";"SolderWirePad_single_1-5mmDrill";3;"Conn_01x01";;;
16;"C10";"C_1206";1;"47uF";;;
17;"C18";"C_0603";1;"4.7n";;;
18;"C21";"C_0603";1;"1n";;;
19;"C41,C42,C43";"C_0603";3;"220n";;;
20;"L1";"L_1206";1;"22uH";;;
21;"R1";"R_0603";1;"39k";;;
22;"R9,R19,R28";"R_0603";3;"13.7k";;;
23;"R10";"R_0603";1;"169k";;;
24;"R12,R15,R20,R25,R29,R34";"R_0603";6;"27.4k";;;
25;"R13,R14,R21,R24,R30,R33";"R_0603";6;"1.78k";;;
26;"R16";"R_0603";1;"9.31k";;;
27;"R17,R22,R31,R35,R39,R41";"R_0603";6;"10e";;;
28;"R18,R23,R32,R36,R40,R42";"R_0603";6;"62e";;;
29;"R43";"R_0603";1;"75k";;;
30;"R50,R51,R52";"R_0603";3;"2.2k";;;
31;"R62";"R_1206";1;"10k";;;
32;"C4";"C_0805";1;"10u";;;
33;"REF**,REF**,REF**,REF**";"Fiducial_0.75mm_Dia_1.5mm_Outer";4;"Fiducial_0.75mm_Dia_1.5mm_Outer";;;
34;"J7";"Pin_Header_Angled_1x01_Pitch1.00mm";1;"Conn_01x01";;;
